Unnamed: 0,Team_ID,Game_ID,GAME_DATE,MATCHUP,WL,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,DAYS_REST,PASS,FG2M,FG2_PCT,OPEN_SHOTS,COVERED_SHOTS,OPEN_EFG,COVERED_EFG,PASS_AST,RESULT
,1610612764,21601004,2017-03-15,WAS vs. DAL,L,41.0,26.0,0.612,240,40,82,0.488,12,30,0.4,15,21,0.714,5,37,42,30,4,1,12,23,107,2.0,272.0,25.0,3.13,40.0,42.0,0.6625,0.464285714286,9.06666666667,
,1610612764,21600995,2017-03-13,WAS @ MIN,L,41.0,25.0,0.621,240,36,84,0.429,7,26,0.269,25,31,0.806,8,31,39,15,10,2,15,25,104,2.0,244.0,24.0,4.273,41.0,43.0,0.439024390244,0.5,16.2666666667,
,1610612764,21600983,2017-03-11,WAS @ POR,W,41.0,24.0,0.631,265,47,90,0.522,12,25,0.48,19,28,0.679,9,37,46,27,5,4,11,20,125,1.0,272.0,34.0,5.381,34.0,56.0,0.647058823529,0.553571428571,10.0740740741,
,1610612764,21600972,2017-03-10,WAS @ SAC,W,40.0,24.0,0.625,265,52,104,0.5,9,26,0.346,17,19,0.895,12,40,52,29,7,5,9,22,130,2.0,265.0,39.0,4.626,49.0,55.0,0.5,0.581818181818,9.13793103448,
,1610612764,21600958,2017-03-08,WAS @ DEN,W,39.0,24.0,0.619,240,50,88,0.568,11,26,0.423,12,19,0.632,8,35,43,31,10,0,11,16,123,1.0,139.0,20.0,6.959,22.0,18.0,0.704545454545,0.472222222222,4.48387096774,
,1610612764,21600948,2017-03-07,WAS @ PHX,W,38.0,24.0,0.613,240,41,90,0.456,7,18,0.389,42,53,0.792,9,35,44,19,15,4,11,21,131,2.0,278.0,29.0,4.052,39.0,51.0,0.448717948718,0.529411764706,14.6315789474,
,1610612764,21600930,2017-03-05,WAS vs. ORL,W,37.0,24.0,0.607,240,39,81,0.481,14,26,0.538,23,25,0.92,10,28,38,26,9,6,12,16,115,2.0,255.0,21.0,3.837,35.0,46.0,0.714285714286,0.45652173913,9.80769230769,
,1610612764,21600910,2017-03-03,WAS vs. TOR,L,36.0,24.0,0.6,240,34,92,0.37,10,30,0.333,28,32,0.875,15,30,45,23,8,6,11,21,106,2.0,277.0,18.0,2.643,45.0,47.0,0.566666666667,0.287234042553,12.0434782609,
,1610612764,21600896,2017-03-01,WAS @ TOR,W,36.0,23.0,0.61,240,40,84,0.476,9,25,0.36,16,19,0.842,7,37,44,32,6,7,12,21,105,1.0,316.0,28.0,5.739,37.0,47.0,0.540540540541,0.521276595745,9.875,
,1610612764,21600889,2017-02-28,WAS vs. GSW,,,,,120,25,48,0.521,6,14,0.429,7,9,0.778,7,15,22,19,8,4,14,9,63,2.0,271.0,24.0,2.715,41.0,50.0,0.548780487805,0.49,14.2631578947,
