Unnamed: 0,Unnamed: 0.1,Team_ID,Game_ID,GAME_DATE,MATCHUP,WL,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,DAYS_REST,PASS,FG2M,FG2_PCT,OPEN_SHOTS,COVERED_SHOTS,OPEN_EFG,COVERED_EFG,PASS_AST,RESULT
5.0,3.0,1610612739,21600769,2017-02-06,CLE @ WAS,W,35,15,0.7,265,49,92,0.533,19,38,0.5,23,28,0.821,12,34,46,31,7,2,20,26,140,2.0,287.0,25.0,4.254,50.0,42.0,0.56,0.72619047619,9.25806451613,1.0
6.0,4.0,1610612739,21600759,2017-02-04,CLE @ NYK,W,34,15,0.694,240,41,84,0.488,16,40,0.4,13,18,0.722,12,37,49,20,3,0,15,19,111,3.0,272.0,20.0,3.3,51.0,33.0,0.578431372549,0.590909090909,13.6,1.0
7.0,5.0,1610612739,21600731,2017-02-01,CLE vs. MIN,W,33,15,0.688,240,48,89,0.539,15,37,0.405,14,22,0.636,12,36,48,37,10,10,10,13,125,2.0,283.0,31.0,5.626,46.0,43.0,0.663043478261,0.581395348837,7.64864864865,1.0
8.0,6.0,1610612739,21600722,2017-01-30,CLE @ DAL,L,32,15,0.681,240,35,75,0.467,12,32,0.375,15,21,0.714,6,36,42,17,6,3,17,17,97,1.0,255.0,21.0,4.977,37.0,38.0,0.527027027027,0.565789473684,15.0,0.0
9.0,7.0,1610612739,21600712,2017-01-29,CLE vs. OKC,W,32,14,0.696,240,41,92,0.446,8,29,0.276,17,22,0.773,8,43,51,22,9,6,10,16,107,2.0,240.0,27.0,4.871,44.0,48.0,0.488636363636,0.489583333333,10.9090909091,1.0
10.0,8.0,1610612739,21600695,2017-01-27,CLE vs. BKN,W,31,14,0.689,240,49,92,0.533,13,36,0.361,13,20,0.65,9,38,47,26,4,5,14,14,124,2.0,282.0,31.0,7.943,56.0,36.0,0.598214285714,0.611111111111,10.8461538462,1.0
11.0,9.0,1610612739,21600680,2017-01-25,CLE vs. SAC,L,30,14,0.682,265,40,82,0.488,15,38,0.395,17,34,0.5,13,34,47,29,9,6,18,21,112,2.0,298.0,21.0,4.69,53.0,29.0,0.622641509434,0.5,10.275862069,0.0
12.0,10.0,1610612739,21600671,2017-01-23,CLE @ NOP,L,30,13,0.698,240,43,93,0.462,15,37,0.405,21,25,0.84,11,34,45,24,6,3,11,20,122,2.0,317.0,20.0,4.112,42.0,51.0,0.511904761905,0.56862745098,13.2083333333,0.0
13.0,11.0,1610612739,21600657,2017-01-21,CLE vs. SAS,L,30,12,0.714,265,45,91,0.495,13,34,0.382,12,22,0.545,11,36,47,25,7,1,18,16,115,2.0,288.0,28.0,4.45,45.0,46.0,0.6,0.532608695652,11.52,0.0
14.0,12.0,1610612739,21600636,2017-01-19,CLE vs. PHX,W,30,11,0.732,240,43,85,0.506,19,42,0.452,13,19,0.684,4,32,36,29,7,6,12,24,118,3.0,315.0,22.0,5.263,48.0,37.0,0.666666666667,0.554054054054,10.8620689655,1.0
15.0,13.0,1610612739,21600619,2017-01-16,CLE @ GSW,L,29,11,0.725,240,31,88,0.352,9,34,0.265,20,27,0.741,7,28,35,11,7,4,15,21,91,3.0,266.0,15.0,3.717,44.0,44.0,0.375,0.431818181818,24.1818181818,0.0
16.0,14.0,1610612739,21600599,2017-01-13,CLE @ SAC,W,29,10,0.744,240,44,87,0.506,15,37,0.405,17,22,0.773,10,29,39,27,11,3,12,20,120,2.0,308.0,28.0,5.977,46.0,41.0,0.652173913043,0.524390243902,11.4074074074,1.0
17.0,15.0,1610612739,21600585,2017-01-11,CLE @ POR,L,28,10,0.737,240,28,82,0.341,9,30,0.3,21,28,0.75,13,35,48,14,5,4,15,20,86,1.0,248.0,16.0,3.8,41.0,41.0,0.414634146341,0.378048780488,17.7142857143,0.0
18.0,16.0,1610612739,21600576,2017-01-10,CLE @ UTA,L,28,9,0.757,240,31,85,0.365,9,31,0.29,21,25,0.84,13,29,42,15,6,2,16,19,92,2.0,235.0,19.0,3.083,42.0,43.0,0.464285714286,0.372093023256,15.6666666667,0.0
19.0,17.0,1610612739,21600565,2017-01-08,CLE @ PHX,W,28,8,0.778,240,44,82,0.537,15,34,0.441,17,19,0.895,13,25,38,15,8,5,20,12,120,2.0,278.0,22.0,4.719,45.0,37.0,0.711111111111,0.527027027027,18.5333333333,1.0
20.0,18.0,1610612739,21600547,2017-01-06,CLE @ BKN,W,27,8,0.771,240,38,88,0.432,9,33,0.273,31,43,0.721,5,41,46,19,14,3,12,16,116,2.0,303.0,27.0,6.263,46.0,42.0,0.45652173913,0.511904761905,15.9473684211,1.0
21.0,19.0,1610612739,21600532,2017-01-04,CLE vs. CHI,L,26,8,0.765,240,34,83,0.41,8,25,0.32,18,24,0.75,16,28,44,13,6,2,15,16,94,2.0,234.0,20.0,4.338,39.0,43.0,0.5,0.43023255814,18.0,0.0
22.0,20.0,1610612739,21600514,2017-01-02,CLE vs. NOP,W,26,7,0.788,240,34,90,0.378,6,31,0.194,16,22,0.727,11,45,56,16,9,4,11,13,90,2.0,277.0,24.0,5.233,47.0,43.0,0.393617021277,0.43023255814,17.3125,1.0
23.0,21.0,1610612739,21600505,2016-12-31,CLE @ CHA,W,25,7,0.781,240,43,85,0.506,14,31,0.452,21,25,0.84,8,27,35,17,6,1,6,17,121,2.0,272.0,23.0,5.413,36.0,49.0,0.569444444444,0.602040816327,16.0,1.0
24.0,22.0,1610612739,21600488,2016-12-29,CLE vs. BOS,W,24,7,0.774,240,43,83,0.518,14,38,0.368,24,33,0.727,13,33,46,29,7,3,18,16,124,3.0,267.0,27.0,5.515,49.0,34.0,0.65306122449,0.529411764706,9.20689655172,1.0
25.0,23.0,1610612739,21600464,2016-12-26,CLE @ DET,L,23,7,0.767,240,30,79,0.38,11,28,0.393,19,23,0.826,10,37,47,19,8,3,21,23,90,1.0,278.0,18.0,4.999,35.0,44.0,0.371428571429,0.511363636364,14.6315789474,0.0
26.0,24.0,1610612739,21600457,2016-12-25,CLE vs. GSW,W,23,6,0.793,240,37,95,0.389,12,35,0.343,23,32,0.719,18,26,44,20,14,2,12,19,109,2.0,307.0,19.0,3.934,40.0,55.0,0.425,0.472727272727,15.35,1.0
27.0,25.0,1610612739,21600444,2016-12-23,CLE vs. BKN,W,22,6,0.786,240,45,99,0.455,8,35,0.229,21,24,0.875,11,40,51,28,12,4,11,20,119,2.0,272.0,31.0,6.633,54.0,45.0,0.435185185185,0.566666666667,9.71428571429,1.0
28.0,26.0,1610612739,21600429,2016-12-21,CLE vs. MIL,W,21,6,0.778,240,43,87,0.494,15,27,0.556,12,19,0.632,9,33,42,30,3,7,11,20,113,1.0,281.0,24.0,4.048,34.0,53.0,0.764705882353,0.462264150943,9.36666666667,1.0
29.0,27.0,1610612739,21600423,2016-12-20,CLE @ MIL,W,20,6,0.769,265,37,91,0.407,17,40,0.425,23,27,0.852,9,34,43,19,5,2,10,21,114,3.0,333.0,14.0,2.45,43.0,48.0,0.627906976744,0.385416666667,17.5263157895,1.0
30.0,28.0,1610612739,21600402,2016-12-17,CLE vs. LAL,W,19,6,0.76,240,46,89,0.517,15,33,0.455,12,18,0.667,11,33,44,30,8,3,8,12,119,3.0,268.0,26.0,5.15,47.0,42.0,0.606382978723,0.595238095238,8.93333333333,1.0
31.0,29.0,1610612739,21600379,2016-12-14,CLE @ MEM,L,18,6,0.75,240,28,75,0.373,9,25,0.36,20,31,0.645,7,32,39,10,10,2,11,16,85,1.0,258.0,16.0,3.458,41.0,34.0,0.512195121951,0.338235294118,25.8,0.0
32.0,30.0,1610612739,21600368,2016-12-13,CLE vs. MEM,W,18,5,0.783,240,37,81,0.457,12,31,0.387,17,23,0.739,10,36,46,21,8,4,17,16,103,3.0,262.0,20.0,4.524,37.0,44.0,0.540540540541,0.522727272727,12.4761904762,1.0
33.0,31.0,1610612739,21600349,2016-12-10,CLE vs. CHA,W,17,5,0.773,240,42,73,0.575,13,31,0.419,19,28,0.679,7,33,40,25,8,2,17,24,116,1.0,291.0,26.0,4.367,38.0,35.0,0.644736842105,0.685714285714,11.64,1.0
34.0,32.0,1610612739,21600338,2016-12-09,CLE vs. MIA,W,16,5,0.762,240,46,83,0.554,9,24,0.375,13,19,0.684,11,36,47,23,7,9,11,16,114,2.0,248.0,30.0,8.109,43.0,40.0,0.639534883721,0.575,10.7826086957,1.0
35.0,33.0,1610612739,21600327,2016-12-07,CLE @ NYK,W,15,5,0.75,240,39,80,0.488,22,40,0.55,26,31,0.839,10,36,46,23,11,4,12,18,126,2.0,282.0,15.0,6.433,51.0,29.0,0.813725490196,0.293103448276,12.2608695652,1.0
36.0,34.0,1610612739,21600305,2016-12-05,CLE @ TOR,W,14,5,0.737,240,40,84,0.476,14,32,0.438,22,27,0.815,13,35,48,21,4,3,14,21,116,3.0,283.0,25.0,4.531,40.0,44.0,0.6625,0.465909090909,13.4761904762,1.0
37.0,35.0,1610612739,21600286,2016-12-02,CLE @ CHI,L,13,5,0.722,240,45,83,0.542,10,26,0.385,5,10,0.5,6,27,33,30,5,1,18,15,105,1.0,268.0,32.0,3.709,39.0,43.0,0.641025641026,0.581395348837,8.93333333333,0.0
38.0,36.0,1610612739,21600279,2016-12-01,CLE vs. LAC,L,13,4,0.765,240,28,69,0.406,9,24,0.375,29,39,0.744,6,30,36,12,5,3,18,24,94,2.0,232.0,17.0,3.577,33.0,36.0,0.560606060606,0.388888888889,19.3333333333,0.0
39.0,37.0,1610612739,21600262,2016-11-29,CLE @ MIL,L,13,3,0.813,240,32,75,0.427,14,39,0.359,23,31,0.742,7,28,35,17,7,6,19,19,101,2.0,283.0,13.0,4.611,35.0,40.0,0.7,0.3625,16.6470588235,0.0
40.0,38.0,1610612739,21600245,2016-11-27,CLE @ PHI,W,13,2,0.867,240,38,92,0.413,12,40,0.3,24,28,0.857,14,32,46,19,5,3,9,14,112,2.0,256.0,21.0,2.96,50.0,42.0,0.48,0.47619047619,13.4736842105,1.0
41.0,39.0,1610612739,21600227,2016-11-25,CLE vs. DAL,W,12,2,0.857,240,43,85,0.506,20,43,0.465,22,24,0.917,9,38,47,30,9,3,14,16,128,2.0,284.0,21.0,6.713,46.0,39.0,0.728260869565,0.5,9.46666666667,1.0
42.0,40.0,1610612739,21600215,2016-11-23,CLE vs. POR,W,11,2,0.846,240,48,90,0.533,21,36,0.583,20,27,0.741,9,32,41,30,6,4,10,15,137,5.0,267.0,22.0,5.22,42.0,48.0,0.72619047619,0.583333333333,8.9,1.0
43.0,41.0,1610612739,21600175,2016-11-18,CLE vs. DET,W,10,2,0.833,240,40,83,0.482,11,25,0.44,13,14,0.929,5,47,52,26,4,8,13,14,104,2.0,267.0,28.0,5.117,40.0,43.0,0.575,0.523255813953,10.2692307692,1.0
44.0,42.0,1610612739,21600160,2016-11-16,CLE @ IND,L,9,2,0.818,240,35,86,0.407,11,30,0.367,12,20,0.6,11,40,51,19,3,5,18,16,93,1.0,297.0,22.0,4.389,43.0,43.0,0.523255813953,0.418604651163,15.6315789474,0.0
45.0,43.0,1610612739,21600153,2016-11-15,CLE vs. TOR,W,9,1,0.9,240,44,83,0.53,13,33,0.394,20,28,0.714,10,36,46,26,4,7,17,18,121,2.0,267.0,26.0,3.335,44.0,38.0,0.636363636364,0.565789473684,10.2692307692,1.0
46.0,44.0,1610612739,21600140,2016-11-13,CLE vs. CHA,W,8,1,0.889,240,39,92,0.424,14,38,0.368,8,15,0.533,12,41,53,25,3,8,9,13,100,2.0,290.0,21.0,3.607,51.0,41.0,0.539215686275,0.451219512195,11.6,1.0
47.0,45.0,1610612739,21600122,2016-11-11,CLE @ WAS,W,7,1,0.875,240,36,86,0.419,14,33,0.424,19,26,0.731,13,34,47,16,9,6,15,21,105,3.0,251.0,17.0,4.22,44.0,42.0,0.602272727273,0.392857142857,15.6875,1.0
48.0,46.0,1610612739,21600100,2016-11-08,CLE vs. ATL,L,6,1,0.857,240,37,99,0.374,11,42,0.262,21,25,0.84,13,26,39,21,12,1,6,20,106,3.0,272.0,21.0,3.914,50.0,49.0,0.41,0.448979591837,12.9523809524,0.0
49.0,47.0,1610612739,21600080,2016-11-05,CLE @ PHI,W,6,0,1.0,240,37,91,0.407,14,38,0.368,14,18,0.778,11,38,49,23,10,5,16,15,102,2.0,275.0,21.0,3.388,44.0,47.0,0.590909090909,0.382978723404,11.9565217391,1.0
50.0,48.0,1610612739,21600068,2016-11-03,CLE vs. BOS,W,5,0,1.0,240,41,84,0.488,14,34,0.412,32,37,0.865,7,35,42,24,6,6,8,19,128,2.0,285.0,24.0,4.794,40.0,45.0,0.5125,0.611111111111,11.875,1.0
51.0,49.0,1610612739,21600047,2016-11-01,CLE vs. HOU,W,4,0,1.0,240,43,83,0.518,16,32,0.5,26,31,0.839,12,34,46,22,4,2,11,21,128,3.0,322.0,25.0,5.365,49.0,34.0,0.714285714286,0.470588235294,14.6363636364,1.0
52.0,50.0,1610612739,21600029,2016-10-29,CLE vs. ORL,W,3,0,1.0,240,36,88,0.409,11,37,0.297,22,30,0.733,13,27,40,17,8,6,9,27,105,1.0,301.0,20.0,5.751,40.0,47.0,0.425,0.5,17.7058823529,1.0
53.0,51.0,1610612739,21600018,2016-10-28,CLE @ TOR,W,2,0,1.0,240,33,79,0.418,12,32,0.375,16,22,0.727,9,31,40,20,8,3,17,15,94,3.0,315.0,19.0,3.105,36.0,43.0,0.583333333333,0.418604651163,15.75,1.0
54.0,52.0,1610612739,21600001,2016-10-25,CLE vs. NYK,W,1,0,1.0,240,45,94,0.479,13,35,0.371,14,19,0.737,11,40,51,31,12,5,14,22,117,,332.0,29.0,6.18,46.0,48.0,0.554347826087,0.541666666667,10.7096774194,1.0
