Unnamed: 0,Team_ID,Game_ID,GAME_DATE,MATCHUP,WL,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,DAYS_REST,PASS,FG2M,FG2_PCT,OPEN_SHOTS,COVERED_SHOTS,OPEN_EFG,COVERED_EFG,PASS_AST,RESULT
26.0,1610612750,21600450,2016-12-23,MIN vs. SAC,L,9,20,0.31,240,36,79,0.456,12,32,0.375,21,26,0.808,12,30,42,18,5,4,12,21,105,2.0,254.0,20.0,3.733,39.0,40.0,0.525641025641,0.5375,14.1111111111,0.0
27.0,1610612750,21600430,2016-12-21,MIN @ ATL,W,9,19,0.321,240,35,83,0.422,9,29,0.31,13,14,0.929,15,37,52,21,6,6,17,11,92,2.0,293.0,21.0,2.751,38.0,44.0,0.447368421053,0.511363636364,13.9523809524,1.0
28.0,1610612750,21600416,2016-12-19,MIN vs. PHX,W,8,19,0.296,240,42,86,0.488,7,19,0.368,24,25,0.96,11,30,41,26,8,7,19,25,115,2.0,288.0,32.0,5.567,38.0,48.0,0.618421052632,0.458333333333,11.0769230769,1.0
29.0,1610612750,21600403,2016-12-17,MIN vs. HOU,L,7,19,0.269,265,41,92,0.446,7,21,0.333,20,27,0.741,13,42,55,29,9,6,21,21,109,4.0,328.0,29.0,4.194,37.0,55.0,0.486486486486,0.481818181818,11.3103448276,0.0
30.0,1610612750,21600370,2016-12-13,MIN @ CHI,W,7,18,0.28,240,38,86,0.442,6,21,0.286,17,22,0.773,15,34,49,24,3,8,14,14,99,2.0,286.0,28.0,3.315,52.0,34.0,0.538461538462,0.382352941176,11.9166666667,1.0
31.0,1610612750,21600358,2016-12-11,MIN vs. GSW,L,6,18,0.25,240,36,81,0.444,9,24,0.375,27,36,0.75,16,35,51,17,3,2,14,21,108,2.0,298.0,24.0,3.811,41.0,40.0,0.573170731707,0.425,17.5294117647,0.0
32.0,1610612750,21600342,2016-12-09,MIN vs. DET,L,6,17,0.261,240,37,78,0.474,3,16,0.188,13,20,0.65,7,30,37,19,4,2,12,16,90,1.0,320.0,31.0,7.359,32.0,46.0,0.609375,0.413043478261,16.8421052632,0.0
33.0,1610612750,21600331,2016-12-08,MIN @ TOR,L,6,16,0.273,240,45,88,0.511,9,28,0.321,11,15,0.733,16,27,43,19,3,2,13,26,110,2.0,309.0,26.0,4.455,39.0,49.0,0.474358974359,0.632653061224,16.2631578947,0.0
34.0,1610612750,21600319,2016-12-06,MIN vs. SAS,L,6,15,0.286,240,36,82,0.439,7,20,0.35,12,18,0.667,11,30,41,19,4,2,15,20,91,3.0,292.0,21.0,2.618,44.0,38.0,0.488636363636,0.473684210526,15.3684210526,0.0
35.0,1610612750,21600292,2016-12-03,MIN @ CHA,W,6,14,0.3,265,48,106,0.453,10,27,0.37,19,22,0.864,14,37,51,32,10,10,10,19,125,1.0,318.0,34.0,4.696,48.0,57.0,0.5625,0.456140350877,9.9375,1.0
36.0,1610612750,21600285,2016-12-02,MIN @ NYK,L,5,14,0.263,240,41,88,0.466,10,28,0.357,22,24,0.917,13,30,43,25,6,6,14,25,114,2.0,288.0,28.0,5.844,45.0,43.0,0.588888888889,0.453488372093,11.52,0.0
37.0,1610612750,21600271,2016-11-30,MIN vs. NYK,L,5,13,0.278,240,34,77,0.442,4,19,0.211,32,39,0.821,11,29,40,17,9,5,15,17,104,2.0,260.0,24.0,5.212,36.0,41.0,0.472222222222,0.463414634146,15.2941176471,0.0
38.0,1610612750,21600258,2016-11-28,MIN vs. UTA,L,5,12,0.294,240,36,81,0.444,7,19,0.368,24,25,0.96,10,29,39,26,8,2,14,23,103,2.0,262.0,27.0,5.14,30.0,51.0,0.483333333333,0.490196078431,10.0769230769,0.0
39.0,1610612750,21600244,2016-11-26,MIN @ GSW,L,5,11,0.313,240,41,89,0.461,10,35,0.286,10,12,0.833,8,24,32,22,8,3,13,15,102,1.0,319.0,28.0,5.516,48.0,41.0,0.572916666667,0.451219512195,14.5,0.0
40.0,1610612750,21600236,2016-11-25,MIN @ PHX,W,5,10,0.333,240,34,85,0.4,7,22,0.318,23,25,0.92,11,28,39,16,15,8,17,27,98,2.0,302.0,24.0,5.061,42.0,43.0,0.511904761905,0.372093023256,18.875,1.0
41.0,1610612750,21600222,2016-11-23,MIN @ NOP,L,4,10,0.286,240,33,86,0.384,3,17,0.176,27,33,0.818,8,33,41,23,12,3,17,19,96,2.0,285.0,26.0,3.833,28.0,58.0,0.267857142857,0.465517241379,12.3913043478,0.0
42.0,1610612750,21600205,2016-11-21,MIN vs. BOS,L,4,9,0.308,240,36,86,0.419,4,24,0.167,17,25,0.68,16,35,51,23,5,4,15,19,93,2.0,289.0,29.0,4.618,36.0,50.0,0.361111111111,0.5,12.5652173913,0.0
43.0,1610612750,21600190,2016-11-19,MIN @ MEM,L,4,8,0.333,240,25,64,0.391,7,22,0.318,14,22,0.636,5,29,34,16,5,5,16,25,71,2.0,298.0,17.0,4.443,36.0,28.0,0.416666666667,0.482142857143,18.625,0.0
44.0,1610612750,21600172,2016-11-17,MIN vs. PHI,W,4,7,0.364,240,43,84,0.512,6,25,0.24,18,20,0.9,14,34,48,18,7,8,13,19,110,2.0,271.0,29.0,6.203,38.0,46.0,0.460526315789,0.619565217391,15.0555555556,1.0
45.0,1610612750,21600155,2016-11-15,MIN vs. CHA,L,3,7,0.3,240,38,89,0.427,15,35,0.429,17,21,0.81,14,29,43,25,4,5,18,19,108,2.0,302.0,21.0,3.685,39.0,50.0,0.564102564103,0.47,12.08,0.0
46.0,1610612750,21600142,2016-11-13,MIN vs. LAL,W,3,6,0.333,240,42,80,0.525,13,27,0.481,28,42,0.667,9,35,44,28,10,4,10,19,125,1.0,313.0,28.0,4.249,36.0,44.0,0.680555555556,0.545454545455,11.1785714286,1.0
47.0,1610612750,21600135,2016-11-12,MIN vs. LAC,L,2,6,0.25,240,40,89,0.449,8,22,0.364,17,21,0.81,15,24,39,26,11,3,13,31,105,3.0,310.0,25.0,4.06,39.0,50.0,0.512820512821,0.48,11.9230769231,0.0
48.0,1610612750,21600109,2016-11-09,MIN @ ORL,W,2,5,0.286,240,45,87,0.517,13,23,0.565,20,26,0.769,10,35,45,27,8,5,6,23,123,1.0,316.0,29.0,5.503,35.0,52.0,0.642857142857,0.557692307692,11.7037037037,1.0
49.0,1610612750,21600101,2016-11-08,MIN @ BKN,L,1,5,0.167,240,39,92,0.424,12,28,0.429,20,28,0.714,15,26,41,20,11,3,16,21,110,3.0,293.0,20.0,3.414,43.0,49.0,0.53488372093,0.448979591837,14.65,0.0
50.0,1610612750,21600079,2016-11-05,MIN @ OKC,L,1,4,0.2,240,33,84,0.393,4,19,0.211,22,29,0.759,17,24,41,12,7,8,17,19,92,2.0,299.0,24.0,5.197,27.0,57.0,0.444444444444,0.40350877193,24.9166666667,0.0
51.0,1610612750,21600067,2016-11-03,MIN vs. DEN,L,1,3,0.25,240,35,88,0.398,9,22,0.409,20,25,0.8,14,29,43,20,8,4,16,22,99,2.0,302.0,19.0,2.411,36.0,51.0,0.472222222222,0.441176470588,15.1,0.0
52.0,1610612750,21600052,2016-11-01,MIN vs. MEM,W,1,2,0.333,240,43,78,0.551,12,20,0.6,18,23,0.783,10,40,50,29,10,5,21,22,116,3.0,316.0,25.0,5.119,36.0,41.0,0.791666666667,0.475609756098,10.8965517241,1.0
53.0,1610612750,21600034,2016-10-29,MIN @ SAC,L,0,2,0.0,240,37,70,0.529,7,22,0.318,22,31,0.71,7,29,36,19,6,5,11,25,103,3.0,273.0,29.0,4.381,34.0,36.0,0.588235294118,0.597222222222,14.3684210526,0.0
54.0,1610612750,21600009,2016-10-26,MIN @ MEM,L,0,1,0.0,240,36,86,0.419,6,18,0.333,20,29,0.69,15,30,45,20,6,5,10,23,98,,305.0,24.0,2.745,36.0,50.0,0.361111111111,0.52,15.25,0.0
