eth.src,eth.dst,ip.src,ip.dst,ip.proto
64:00:6a:72:2f:2c,01:00:5e:00:00:fc,10.134.126.60,224.0.0.252,17
64:00:6a:72:2f:2c,ff:ff:ff:ff:ff:ff,10.134.126.60,10.134.127.255,17
64:00:6a:72:2f:2c,01:00:5e:7f:ff:fa,10.134.126.60,239.255.255.250,17
64:00:6a:72:2f:2c,01:00:5e:7f:ff:fa,10.134.126.60,239.255.255.250,17
64:00:6a:72:2f:2c,33:33:00:00:00:0c,,,
64:00:6a:75:76:6a,ff:ff:ff:ff:ff:ff,,,
58:69:6c:15:cd:2c,01:80:c2:00:00:0e,,,
64:00:6a:72:2f:2c,01:00:5e:00:00:16,10.134.126.60,224.0.0.22,2
64:00:6a:72:2f:2c,33:33:00:00:00:16,,,
64:00:6a:72:2f:2c,33:33:00:01:00:03,,,
64:00:6a:72:2f:2c,01:00:5e:00:00:fc,10.134.126.60,224.0.0.252,17
00:0c:29:ed:eb:d3,ff:ff:ff:ff:ff:ff,,,
00:0c:29:e9:92:47,ff:ff:ff:ff:ff:ff,,,
90:b1:1c:82:a2:31,33:33:ff:c9:06:c9,,,
5c:f9:dd:76:84:0b,00:00:5e:00:01:07,10.134.116.85,93.46.8.89,6
84:5b:12:5e:36:0a,33:33:ff:5e:be:ed,,,
84:5b:12:5e:36:0a,33:33:ff:5e:f6:a8,,,
5c:f9:dd:76:84:0b,00:00:5e:00:01:07,10.134.116.85,93.46.8.89,6
5c:f9:dd:76:84:0b,84:5b:12:5e:36:0a,,,
64:00:6a:89:00:56,33:33:ff:8e:5e:82,,,
5c:f9:dd:76:84:0b,84:5b:12:5e:36:0a,,,
00:0c:29:ed:eb:d3,ff:ff:ff:ff:ff:ff,,,
00:0c:29:e9:92:47,ff:ff:ff:ff:ff:ff,,,
5c:f9:dd:76:84:0b,00:00:5e:00:01:07,10.134.116.85,93.46.8.89,6
64:00:6a:75:76:6a,01:00:5e:7f:ff:fa,10.134.110.107,239.255.255.250,17
5c:f9:dd:76:84:0b,84:5b:12:5e:36:0a,,,
00:0c:29:ed:eb:d3,ff:ff:ff:ff:ff:ff,,,
00:0c:29:e9:92:47,ff:ff:ff:ff:ff:ff,,,
00:0c:29:10:96:e5,01:00:5e:00:00:16,10.134.80.249,224.0.0.22,2
00:0c:29:b4:e0:6c,01:00:5e:00:00:16,10.134.94.7,224.0.0.22,2
5c:f9:dd:76:84:0b,00:00:5e:00:01:07,10.134.116.85,93.46.8.89,6
64:00:6a:72:2f:2c,01:00:5e:7f:ff:fa,10.134.126.60,239.255.255.250,17
64:00:6a:89:5d:ab,ff:ff:ff:ff:ff:ff,,,
64:00:6a:75:76:6a,01:00:5e:7f:ff:fa,10.134.110.107,239.255.255.250,17
5c:f9:dd:76:84:0b,84:5b:12:5e:36:0a,,,
00:0c:29:e7:09:b0,01:00:5e:00:00:16,10.134.106.18,224.0.0.22,2
00:0c:29:8f:20:03,01:00:5e:00:00:16,10.134.86.129,224.0.0.22,2
64:00:6a:7b:66:52,33:33:00:01:00:02,,,
00:0c:29:ed:eb:d3,ff:ff:ff:ff:ff:ff,,,
00:0c:29:e9:92:47,ff:ff:ff:ff:ff:ff,,,
00:0c:29:8c:f5:d4,01:00:5e:00:00:16,10.134.77.194,224.0.0.22,2
64:00:6a:75:76:6a,01:00:5e:7f:ff:fa,10.134.110.107,239.255.255.250,17
6c:0b:84:67:c4:2e,01:00:5e:00:00:16,10.134.127.99,224.0.0.22,2
6c:0b:84:67:c4:2e,01:00:5e:00:00:16,10.134.127.99,224.0.0.22,2
6c:0b:84:67:c4:2e,33:33:00:00:00:16,,,
6c:0b:84:67:c4:2e,01:00:5e:7f:ff:fa,10.134.127.99,239.255.255.250,17
6c:0b:84:67:c4:2e,33:33:00:00:00:0c,,,
6c:0b:84:67:c4:2e,01:00:5e:00:00:16,10.134.127.99,224.0.0.22,2
6c:0b:84:67:c4:2e,ff:ff:ff:ff:ff:ff,10.134.127.99,10.134.127.255,17
6c:0b:84:67:c4:2e,33:33:00:00:00:16,,,
6c:0b:84:67:c4:2e,ff:ff:ff:ff:ff:ff,10.134.127.99,10.134.127.255,17
6c:0b:84:67:c4:2e,33:33:00:01:00:03,,,
6c:0b:84:67:c4:2e,33:33:00:01:00:03,,,
6c:0b:84:67:c4:2e,01:00:5e:00:00:fc,10.134.127.99,224.0.0.252,17
6c:0b:84:67:c4:2e,01:00:5e:00:00:fc,10.134.127.99,224.0.0.252,17
6c:0b:84:67:c4:2e,33:33:00:01:00:03,,,
6c:0b:84:67:c4:2e,33:33:00:01:00:03,,,
6c:0b:84:67:c4:2e,01:00:5e:00:00:fc,10.134.127.99,224.0.0.252,17
6c:0b:84:67:c4:2e,01:00:5e:00:00:fc,10.134.127.99,224.0.0.252,17
64:00:6a:89:05:2e,33:33:ff:c5:af:70,,,
64:00:6a:89:05:2e,33:33:ff:c5:af:70,,,
6c:0b:84:67:c4:2e,33:33:00:01:00:03,,,
6c:0b:84:67:c4:2e,01:00:5e:00:00:fc,10.134.127.99,224.0.0.252,17
6c:0b:84:67:c4:2e,01:00:5e:7f:ff:fa,10.134.127.99,239.255.255.250,17
6c:0b:84:67:c4:2e,01:00:5e:7f:ff:fa,10.134.127.99,239.255.255.250,17
